area trstprl trstlgl trstplt trstep trstun euftf imueclt imwbcnt
W 3 5 5 5 3 7 5 5
W 4 6 5 7 5 5 5 5
W 3 7 5 6 6 5 7 7
W 4 4 5 7 7 5 7 5
W 8 8 6 8 9 10 4 3
W 5 7 2 7 7 3 7 5
W 4 5 2 3 3 5 3 1
W 6 7 4 7 7 5 8 5
W 5 8 6 8 7 9 5 4
W 6 7 6 6 6 6 7 5
W 4 4 6 6 5 5 6 5
W 5 7 5 6 5 2 3 3
W 3 3 2 3 3 5 2 4
W 6 8 3 9 2 4 5 3
W 6 5 6 6 6 5 5 2
W 5 7 4 5 5 7 7 5
W 6 7 6 6 5 6 7 7
W 5 10 4 7 4 2 6 5
W 9 9 2 6 3 5 8 5
W 6 0 3 6 7 4 7 5
W 3 6 3 7 5 8 7 3
W 4 3 5 5 6 5 6 5
W 5 7 5 6 6 2 5 4
W 4 7 4 6 7 6 7 6
W 5 5 4 5 6 7 7 5
W 3 5 2 3 4 5 5 3
W 5 3 5 5 7 5 5 5
W 7 7 7 7 7 7 5 5
W 6 6 5 7 8 4 7 5
W 7 7 4 5 2 7 6 5
W 4 4 3 5 5 6 7 5
W 3 5 2 2 3 7 7 5
W 2 1 3 1 1 2 3 2
W 7 3 6 8 8 8 8 6
W 4 5 4 4 4 5 4 5
W 5 3 3 4 4 5 6 5
W 2 2 2 2 2 3 3 3
W 4 6 2 4 5 8 8 6
W 5 5 3 3 3 4 2 3
W 5 5 5 5 5 5 2 3
W 5 3 5 5 5 5 5 5
W 6 8 6 7 7 8 7 7
W 3 1 1 5 5 2 7 2
W 3 4 2 5 3 3 5 5
W 5 8 5 7 3 7 8 7
W 5 5 6 7 7 10 10 8
W 5 5 4 6 6 6 7 7
W 7 8 7 7 7 8 7 6
W 6 6 5 6 6 5 7 5
W 3 3 3 3 3 5 6 2
W 0 2 2 3 3 1 5 2
W 7 7 6 8 4 10 9 5
W 8 8 5 6 6 10 2 5
W 3 3 2 4 4 5 8 6
W 5 4 6 6 6 6 7 5
W 6 7 5 7 6 6 8 8
W 3 3 3 3 4 5 5 5
W 6 6 5 8 8 8 7 8
W 5 6 5 7 8 7 7 4
W 6 7 6 6 7 8 5 4
W 3 1 5 4 4 5 3 3
W 7 6 5 7 6 8 6 5
W 2 6 2 2 4 4 7 5
W 5 5 5 6 5 6 7 6
W 7 6 6 6 6 5 5 5
W 5 5 4 4 5 5 3 3
W 6 8 6 6 6 3 4 3
W 4 5 5 6 6 6 7 3
W 4 9 6 5 5 7 5 5
W 4 5 3 5 2 7 8 6
W 5 8 6 5 0 5 9 6
W 4 5 3 4 3 4 7 6
W 4 7 5 4 4 4 7 5
W 4 6 5 5 6 3 6 4
W 3 4 2 5 3 5 6 4
W 8 7 5 8 6 9 8 6
W 8 8 7 8 7 7 8 6
W 3 7 5 4 6 7 7 6
W 7 6 5 7 7 8 7 5
W 5 4 4 6 6 7 8 6
W 3 5 6 5 4 4 4 4
W 4 4 5 5 6 5 4 3
W 4 5 5 5 5 4 5 5
W 6 6 3 6 6 8 7 5
W 5 5 3 7 7 7 7 5
W 5 3 4 4 5 7 6 5
W 8 8 8 8 8 10 5 5
W 4 5 3 5 5 5 4 3
W 4 5 0 0 3 8 0 1
W 6 6 7 6 6 6 4 7
W 6 6 4 6 5 5 6 6
W 6 8 6 9 9 6 10 7
W 5 4 3 6 7 5 6 5
W 8 8 5 7 4 5 5 5
W 8 8 5 10 8 5 6 5
W 4 6 3 5 5 8 8 5
W 5 5 4 6 6 7 6 4
W 2 3 1 2 2 3 2 2
W 8 9 6 10 2 9 10 9
W 6 6 2 6 7 5 8 4
W 6 5 2 7 7 7 7 4
W 6 5 3 6 6 7 8 5
W 5 5 3 6 6 7 7 5
W 5 5 7 7 7 5 5 5
W 5 4 5 6 4 3 6 6
W 5 5 5 5 5 5 4 5
W 5 5 5 4 4 5 6 6
W 5 5 5 3 3 3 5 5
W 6 7 6 6 4 3 7 8
W 6 5 5 5 4 5 5 5
W 4 5 5 6 4 5 6 6
W 4 4 5 5 5 5 1 1
W 5 5 5 5 5 3 7 6
W 5 5 6 6 6 4 6 5
W 4 6 5 6 5 5 6 6
W 5 5 5 5 5 5 5 5
W 5 5 4 4 4 5 5 5
W 6 6 4 6 6 8 7 5
W 6 6 5 7 7 7 8 5
W 4 5 5 5 6 5 6 6
W 4 5 5 5 4 5 5 5
W 4 4 6 5 5 4 4 4
W 5 5 5 5 5 4 5 5
W 4 4 4 5 5 8 9 5
W 3 7 2 7 5 5 9 9
W 5 5 5 6 3 4 6 6
W 5 6 1 8 5 7 9 5
W 5 8 5 5 4 5 6 7
W 3 3 3 3 3 4 5 5
W 5 5 3 5 1 0 9 6
W 5 5 5 5 5 3 5 5
W 7 8 7 8 6 10 8 5
W 5 5 5 5 6 5 6 5
W 5 6 6 7 3 8 8 5
W 5 5 3 6 2 5 7 8
W 3 5 6 7 5 7 7 4
W 8 6 4 9 9 9 9 7
W 7 7 6 7 7 7 5 5
W 4 6 4 6 7 5 4 5
W 1 2 2 0 3 0 5 0
W 5 5 3 6 6 2 5 5
W 5 7 5 7 8 7 5 5
W 5 1 5 5 2 3 5 5
W 5 1 1 1 1 1 5 5
W 5 6 5 7 6 6 5 5
W 0 2 0 0 1 0 1 1
W 5 3 3 5 3 1 5 3
W 6 5 6 7 6 8 6 7
W 6 7 8 8 3 9 8 8
W 5 5 6 6 7 7 8 5
W 5 7 5 6 6 6 10 7
W 0 3 2 0 0 2 5 5
W 2 5 3 3 2 5 2 2
W 5 5 5 6 6 7 6 5
W 6 6 6 7 7 4 8 5
W 6 6 5 5 4 7 7 5
W 7 8 6 7 4 7 5 5
W 7 6 5 5 4 6 6 6
W 2 5 4 5 6 5 5 5
W 1 3 5 3 3 5 5 0
W 7 6 6 6 6 3 5 2
W 4 4 3 5 6 7 5 3
W 3 5 3 3 4 6 7 4
W 7 8 7 8 6 8 7 4
W 6 4 5 7 6 4 6 6
W 6 7 7 8 8 8 7 7
W 0 5 0 0 0 5 5 3
W 5 3 5 5 5 3 3 4
W 5 5 5 5 5 10 5 3
W 4 2 2 6 5 3 5 3
W 4 8 4 4 5 3 0 0
W 7 7 5 5 5 8 5 5
W 6 5 5 7 7 10 9 8
W 7 8 7 8 4 3 3 3
W 5 6 4 5 5 6 5 4
W 2 2 1 1 2 5 4 2
W 5 5 5 5 5 5 6 5
W 7 7 6 7 7 7 8 6
W 5 8 5 5 5 7 5 6
W 4 6 3 6 1 6 2 5
W 3 8 2 1 1 8 5 6
W 7 8 7 8 7 7 6 6
W 10 10 5 8 4 5 4 2
W 7 4 5 5 5 2 2 2
W 4 5 4 4 5 2 6 5
W 7 7 6 6 6 9 5 5
W 7 8 6 7 7 5 5 4
W 3 4 5 5 7 8 5 3
W 7 4 4 7 3 7 2 4
W 5 7 5 7 7 6 3 3
W 6 3 5 6 3 8 4 5
W 7 4 8 8 7 7 8 6
W 2 1 1 1 1 0 4 3
W 5 7 4 9 6 5 3 5
W 2 2 2 2 2 0 1 2
W 4 4 4 3 3 1 6 4
W 7 7 6 8 6 5 7 5
W 5 5 5 7 6 6 6 6
W 5 3 3 3 3 0 3 4
W 3 2 3 0 2 1 7 2
W 3 7 3 8 8 4 8 4
W 5 6 5 7 6 6 5 5
W 6 6 5 7 4 7 7 5
W 5 4 3 5 3 6 6 4
W 5 4 4 5 6 6 9 5
W 3 1 2 3 4 1 1 2
W 2 4 2 2 4 6 8 6
W 4 7 4 6 6 7 6 8
W 1 1 0 0 0 4 1 1
W 5 6 7 8 5 5 6 5
W 5 5 1 1 2 6 5 1
W 3 2 4 6 7 6 7 3
W 5 5 7 3 3 5 4 4
W 4 2 4 5 5 3 6 4
W 4 4 4 4 4 5 3 3
W 4 6 7 6 6 1 4 4
W 3 2 2 5 6 3 4 4
W 4 5 2 5 5 3 2 3
W 4 4 4 4 5 7 4 5
W 7 5 7 3 5 7 4 1
W 5 5 5 7 7 5 5 9
W 5 4 5 4 4 6 5 5
